brand_key,campaign_key,group_key,year,month,impressions,reach,clicks,sales,family,budget,cost,contribution,_merge,matched
agrocommerce,aseo,Google,2025,5,56668.0,0.0,1467.0,0.0,,,,,left_only,False
agrocommerce,aseo,Google,2025,6,15606.0,0.0,483.0,0.0,,,,,left_only,False
agrocommerce dr beckmann,aseo,Retail Display,2025,4,190071.0,0.0,519.0,0.0,,,,,left_only,False
agrocommerce dr beckmann,black friday,Retail Display,2025,11,32227.0,0.0,57.0,0.0,,,,,left_only,False
agrocommerce dr beckmann,black friday,Retail Display,2025,12,5187.0,0.0,9.0,0.0,,,,,left_only,False
agrocommerce dr beckmann,black week,Retail Display,2026,3,7792.0,0.0,16.0,0.0,,,,,left_only,False
agrocommerce dr beckmann,black week,Retail Display,2026,4,69138.0,0.0,88.0,0.0,,,,,left_only,False
agrocommerce dr beckmann,cyber day,Retail Display,2025,6,74612.0,0.0,178.0,0.0,,,,,left_only,False
agrocommerce drbeckmann,cyber monday,Retail Display,2025,10,54626.0,0.0,139.0,0.0,,,,,left_only,False
agrocommerce vileda,,Retail Display,2025,4,200674.0,0.0,712.0,0.0,,,,,left_only,False
agrocommerce vileda,aseo,Retail Display,2024,10,31349.0,0.0,141.0,0.0,,,,,left_only,False
agrocommerce vileda,aseo,Retail Display,2024,11,130182.0,0.0,571.0,0.0,,,,,left_only,False
agrocommerce vileda,black friday,Retail Display,2025,11,65082.0,0.0,180.0,0.0,,,,,left_only,False
agrocommerce vileda,black friday,Retail Display,2025,12,28540.0,0.0,114.0,0.0,,,,,left_only,False
agrocommerce vileda,black week,Retail Display,2026,4,38469.0,0.0,108.0,0.0,,,,,left_only,False
agrocommerce vileda,cyber day,Retail Display,2025,6,113224.0,0.0,486.0,0.0,,,,,left_only,False
agrocommerce vileda,cyber monday,Meta,2025,10,114756.0,0.0,6046.0,0.0,,,,,left_only,False
agrocommerce vileda,cyber monday,Meta,2025,11,78039.0,0.0,4393.0,0.0,,,,,left_only,False
agrocommerce vileda,cyber monday,Meta,2025,12,50578.0,0.0,2273.0,0.0,,,,,left_only,False
agrocommerce vileda,cyber monday,Retail Display,2024,9,14645.0,0.0,84.0,0.0,,,,,left_only,False
agrocommerce vileda,cyber monday,Retail Display,2024,10,136082.0,0.0,236.0,0.0,,,,,left_only,False
