original_brand,original_campaign,group_key,year,month,family,budget,sales,match_quality,sample_is_valid,roas
3m,plqJLg3aR,CRM,2024,2,,,4699622.0,unmatched,False,
3m,tlwatiikm,CRM,2024,3,,,7705564.0,unmatched,False,
3m,zbvfyq0od,CRM,2024,1,,,5753196.0,unmatched,False,
3m-command,,Retail Display,2025,11,,,0.0,unmatched,False,
3m-scotch,montaje,Retail Display,2025,8,,,0.0,unmatched,False,
3m-scotch,montaje,Retail Display,2025,9,,,0.0,unmatched,False,
3m-scotch,montaje,Retail Display,2025,10,,,0.0,unmatched,False,
3m-scotch,tc,Retail Display,2025,8,,,0.0,unmatched,False,
3m-scotchgard,lanzamiento_scotchgard,Meta,2025,8,,,0.0,unmatched,False,
3m-scotchgard,lanzamiento_scotchgard,Retail Display,2025,8,,,0.0,unmatched,False,
3m-scotchgard,lanzamiento_scotchgard,Retail Display,2025,9,,,0.0,unmatched,False,
ad_clean,limpieza_parrillas,Retail Display,2025,8,,,0.0,unmatched,False,
ad_clean,limpieza_parrillas,Retail Display,2025,9,,,0.0,unmatched,False,
adclean,2R6OOJht4,CRM,2025,8,ASEO,300000.0,251670.0,probable,True,0.8389
adepac,59ePv5hF1,CRM,2024,4,,,426481.0,unmatched,False,
agorex,1cRbN9H7Z,CRM,2024,11,,,2581517.0,unmatched,False,
agorex,2wStWSg-A,CRM,2025,7,,,8394010.0,unmatched,False,
agorex,370KDwpSz,CRM,2024,4,,,11573523.0,unmatched,False,
agorex,44fCnwLRW,CRM,2024,8,,,4508596.0,unmatched,False,
agorex,6189516-008623,CRM,2023,3,,,1134474.0,unmatched,False,
agorex,6189516-008648,CRM,2023,3,,,478378.0,unmatched,False,
agorex,6189516-008753,CRM,2023,4,,,451552.0,unmatched,False,
agorex,6189516-008785,CRM,2023,4,,,489310.0,unmatched,False,
agorex,6189516-008827,CRM,2023,4,,,384622.0,unmatched,False,
agorex,6189516-009286,CRM,2023,5,,,1130953.0,unmatched,False,
agorex,6189516-010226,CRM,2023,7,,,986642.0,unmatched,False,
agorex,6189516-010350,CRM,2023,7,,,1412855.0,unmatched,False,
agorex,6189516-010444,CRM,2023,8,,,952424.0,unmatched,False,
agorex,6189516-010711,CRM,2023,8,,,1450233.0,unmatched,False,
agorex,6189516-010721,CRM,2023,8,,,1275680.0,unmatched,False,
agorex,6189516-011507,CRM,2023,10,,,903627.0,unmatched,False,
agorex,6189516-011510,CRM,2023,10,,,269801.0,unmatched,False,
agorex,6189516-011573,CRM,2023,10,,,598717.0,unmatched,False,
agorex,6189516-011664,CRM,2023,11,,,437192.0,unmatched,False,
agorex,6189516-011954,CRM,2023,11,,,385779.0,unmatched,False,
agorex,6189516-011973,CRM,2023,11,,,615073.0,unmatched,False,
agorex,6189516-012070,CRM,2023,11,,,1231442.0,unmatched,False,
agorex,6189516-012089,CRM,2023,12,,,667173.0,unmatched,False,
agorex,6189516-012106,CRM,2023,12,,,3060294.0,unmatched,False,
agorex,6H49G04TH,CRM,2024,10,,,2707631.0,unmatched,False,
agorex,6JZIRgtKB,CRM,2024,1,,,3024892.0,unmatched,False,
agorex,7yklAWWib,CRM,2024,9,,,3328051.0,unmatched,False,
agorex,81lWHZNCz,CRM,2024,6,,,1698393.0,unmatched,False,
agorex,a9pftjpY9,CRM,2024,4,,,1054916.0,unmatched,False,
agorex,AlkjqtDEv,CRM,2024,3,,,1531292.0,unmatched,False,
agorex,bNqP1N74t,CRM,2025,6,PINTURA Y ACCESORIOS,200000.0,3638344.0,probable,True,18.19172
agorex,BPGssDKJa,CRM,2024,7,,,4742760.0,unmatched,False,
agorex,c5EeqtQLS,CRM,2025,4,PINTURA Y ACCESORIOS,1900000.0,796527.0,probable,True,0.41922473684210526
agorex,CM7i2XRXN,CRM,2024,8,,,4627001.0,unmatched,False,
agorex,cyber_day,Retail Display,2024,6,,,0.0,unmatched,False,
agorex,fDnIx-OqJ,CRM,2024,8,,,5015957.0,unmatched,False,
agorex,FqclLDcOW,CRM,2024,4,,,886447.0,unmatched,False,
agorex,FwhVrxZX8,CRM,2024,12,,,967827.0,unmatched,False,
agorex,FYS0NVO4H,CRM,2024,10,,,2434702.0,unmatched,False,
agorex,gHq2Rr6LV,CRM,2024,4,,,918272.0,unmatched,False,
agorex,gkBdg5sPT,CRM,2025,3,,,5310817.0,unmatched,False,
agorex,HaKeqeUi9,CRM,2024,11,,,3305015.0,unmatched,False,
agorex,hv8CV-ES7,CRM,2025,4,PINTURA Y ACCESORIOS,1900000.0,359340.0,probable,True,0.1891263157894737
agorex,IAQFAVMfa,CRM,2024,8,,,649075.0,unmatched,False,
agorex,iOnM0XejR,CRM,2024,10,,,2092738.0,unmatched,False,
agorex,iw1Mc71DF,CRM,2025,2,,,1305746.0,unmatched,False,
agorex,jjvdScybr,CRM,2024,9,,,4138629.0,unmatched,False,
agorex,JkenTEfPQ,CRM,2025,7,,,3932097.0,unmatched,False,
agorex,JzL5PDxtY,CRM,2024,9,,,3141932.0,unmatched,False,
agorex,mSqV5oZ-Q,CRM,2024,8,,,2592037.0,unmatched,False,
agorex,nj1NAS54O,CRM,2025,7,,,1441666.0,unmatched,False,
agorex,ouzJk9vKE,CRM,2024,4,,,629911.0,unmatched,False,
agorex,OypOFWfxX,CRM,2024,4,,,1654542.0,unmatched,False,
agorex,QBThRtben,CRM,2025,3,,,1733048.0,unmatched,False,
agorex,qvfkscuWj,CRM,2024,2,,,3388890.0,unmatched,False,
agorex,rOQ-dqoWd,CRM,2024,6,,,1033579.0,unmatched,False,
agorex,SaG7TdR-c,CRM,2025,8,,,1177970.0,unmatched,False,
agorex,TuxTUMmcs,CRM,2025,6,PINTURA Y ACCESORIOS,200000.0,1946492.0,probable,True,9.73246
agorex,Vms2UiQc1,CRM,2024,8,,,1554227.0,unmatched,False,
agorex,WdL2dFcYH,CRM,2024,11,,,1352582.0,unmatched,False,
agorex,X,CRM,2024,9,,,765180.0,unmatched,False,
agorex,xxY2D7mqy,CRM,2025,7,,,1625481.0,unmatched,False,
agorex,Y3xSF8avC,CRM,2024,7,,,16224134.0,unmatched,False,
agorex,YyQjVQyKG,CRM,2025,5,,,841407.0,unmatched,False,
agrocommerce,aon_febrero_2026,Meta,2026,2,,,486270.0,unmatched,False,
agrocommerce,aon_febrero_2026,Meta,2026,3,,,536384.0,unmatched,False,
agrocommerce,aseo,Google,2025,5,,,0.0,unmatched,False,
agrocommerce,aseo,Google,2025,6,,,0.0,unmatched,False,
agrocommerce_dr_beckmann,aseo,Retail Display,2025,4,,,0.0,unmatched,False,
agrocommerce-dr.beckmann,black_friday,Retail Display,2025,11,,,0.0,unmatched,False,
agrocommerce-dr.beckmann,black_friday,Retail Display,2025,12,,,0.0,unmatched,False,
agrocommerce-dr.beckmann,black_week,Retail Display,2026,3,,,0.0,unmatched,False,
agrocommerce-dr.beckmann,black_week,Retail Display,2026,4,,,0.0,unmatched,False,
agrocommerce-dr.beckmann,cyber_day,Retail Display,2025,6,,,0.0,unmatched,False,
agrocommerce-drbeckmann,cyber_monday,Retail Display,2025,10,,,0.0,unmatched,False,
agrocommerce-vileda,,Retail Display,2025,4,,,0.0,unmatched,False,
agrocommerce-vileda,aseo,Retail Display,2024,10,,,0.0,unmatched,False,
agrocommerce-vileda,aseo,Retail Display,2024,11,,,0.0,unmatched,False,
agrocommerce-vileda,black_friday,Retail Display,2025,11,,,0.0,unmatched,False,
agrocommerce-vileda,black_friday,Retail Display,2025,12,,,0.0,unmatched,False,
agrocommerce-vileda,black_week,Retail Display,2026,4,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_day,Retail Display,2025,6,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_monday,Meta,2025,10,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_monday,Meta,2025,11,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_monday,Meta,2025,12,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_monday,Retail Display,2024,9,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_monday,Retail Display,2024,10,,,0.0,unmatched,False,
agrocommerce-vileda,cyber_monday,Retail Display,2025,10,,,0.0,unmatched,False,
airolite,5eBjVcV6K,CRM,2024,12,,,4895752.0,unmatched,False,
airolite,6189516-009614,CRM,2023,5,,,334192.0,unmatched,False,
airolite,black_friday,Retail Display,2025,11,,,0.0,unmatched,False,
airolite,black_friday,Retail Display,2025,12,,,0.0,unmatched,False,
airolite,Dxu2b7rTY,CRM,2025,1,,,2730874.0,unmatched,False,
airolite,wx9VDBXFo,CRM,2024,8,,,358940.0,unmatched,False,
airwick,5dwGcygCL,CRM,2025,6,,,329111.0,unmatched,False,
airwick,aromatizadores_navidad,Retail Display,2024,11,,,0.0,unmatched,False,
airwick,aromatizadores_navidad,Retail Display,2024,12,,,0.0,unmatched,False,
airwick,navidad,Retail Display,2025,12,ASEO,300000.0,0.0,probable,True,0.0
airwick,ZJWoXqRfI,CRM,2025,4,,,1077336.0,unmatched,False,
aislan,bRIiLfbGr,CRM,2025,7,,,101980.0,unmatched,False,
AISLAN,hazlo_todo_con_volcan,Sponsored Products,2026,3,,,306012.0,unmatched,False,
aislan,jthSxNccB,CRM,2025,2,,,313440.0,unmatched,False,
aislan,lQwkA052t,CRM,2025,2,,,912497.0,unmatched,False,
aislan,ZPy2XIMBO,CRM,2025,3,,,925454.0,unmatched,False,
aislanglass,6189516-009037,CRM,2023,4,,,0.0,unmatched,False,
aislanglass,6189516-009043,CRM,2023,4,,,1853798.0,unmatched,False,
aislanglass,6189516-011717,CRM,2023,11,,,2676797.0,unmatched,False,
aislanglass,6189516-011818,CRM,2023,11,,,2509006.0,unmatched,False,
aislanglass,6189516-012048,CRM,2023,11,,,2413218.0,unmatched,False,
aislanglass,6189516-012211,CRM,2023,12,,,920500.0,unmatched,False,
aislanglass,6189516-012336,CRM,2023,12,,,3625651.0,unmatched,False,
aislanglass,Black Marzo 2026,CRM,2026,3,,,4355170.0,unmatched,False,
AISLANGLASS,black_week,Sponsored Products,2026,3,,,3116960.0,unmatched,False,
aislanglass,bRIiLfbGr,CRM,2025,7,,,1917305.0,unmatched,False,
aislanglass,Campaña Hazlo Todo con Volcan,CRM,2026,4,,,12681760.0,unmatched,False,
aislanglass,FCg8pyBxs,CRM,2025,8,,,512186.0,unmatched,False,
AISLANGLASS,hazlo_todo_con_volcan,Sponsored Products,2026,3,,,205960.0,unmatched,False,
AISLANGLASS,hazlo_todo_con_volcan,Sponsored Products,2026,4,,,296324.0,unmatched,False,
aislanglass,lanzamiento,CRM,2025,12,,,1147243.0,unmatched,False,
aislanglass,njKzr0uq5,CRM,2025,7,,,86580.0,unmatched,False,
aislanglass,OmyRaUXr5,CRM,2024,1,,,2445490.0,unmatched,False,
aislanglass,p2ymELHZE,CRM,2025,7,,,204238.0,unmatched,False,
aislanglass,sin campaña,CRM,2025,12,,,2017732.0,unmatched,False,
aiwa,6189516-007594,CRM,2023,1,,,500473.0,unmatched,False,
aiwa,6189516-007705,CRM,2023,1,,,169670.0,unmatched,False,
ALBIN TROTTER,black_week,Sponsored Products,2026,3,,,17840680.0,unmatched,False,
alcazar,,Otros,2026,5,,,0.0,unmatched,False,
alcazar,,Retail Display,2025,5,ELECTROHOGAR,1600000.0,0.0,probable,True,0.0
alcazar,,Retail Display,2025,6,ELECTROHOGAR,1650000.0,0.0,probable,True,0.0
alcazar,,Retail Display,2025,7,ELECTROHOGAR,1600000.0,0.0,probable,True,0.0
alcazar,2sOXjbVo2,CRM,2024,5,,,16364712.0,unmatched,False,
alcazar,5kAto2DyA,CRM,2024,5,,,8183677.0,unmatched,False,
alcazar,6PzgeN8dh,CRM,2024,6,,,8300369.0,unmatched,False,
alcazar,8tamdWTa4,CRM,2025,7,ELECTROHOGAR,150000.0,5304850.0,probable,True,35.36566666666667
alcazar,ao,Google,2025,5,,,0.0,unmatched,False,
alcazar,ao,Google,2025,6,,,0.0,unmatched,False,
alcazar,aon_alcazar,Retail Display,2026,4,,,0.0,unmatched,False,
alcazar,aon_alcazar,Retail Display,2026,5,ELECTROHOGAR,800000.0,0.0,probable,True,0.0
ALCAZAR,black_week,Sponsored Products,2026,3,,,17879740.0,unmatched,False,
alcazar,calefaccion,Retail Display,2024,6,,,0.0,unmatched,False,
alcazar,co_brand,Retail Display,2024,5,,,0.0,unmatched,False,
alcazar,electrohogar,Retail Display,2025,4,ELECTROHOGAR,1850000.0,0.0,probable,True,0.0
alcazar,Hch7FU2ZZ,CRM,2024,6,,,5144277.0,unmatched,False,
alcazar,iDQO2mQq9,CRM,2024,5,,,5098118.0,unmatched,False,
alcazar,lLxM-tnxf,CRM,2025,7,ELECTROHOGAR,150000.0,1534950.0,probable,True,10.233
alcazar,oYhJ1bavn,CRM,2024,6,,,9377835.0,unmatched,False,
alcazar,tQLUNYTSv,CRM,2024,4,,,10016750.0,unmatched,False,
alcazar,tW5e2eLwZ,CRM,2024,6,,,7392910.0,unmatched,False,
alcazar,u3mVu-mko,CRM,2024,5,,,13458900.0,unmatched,False,
alcazar,WmAJmWX3V,CRM,2025,4,ELECTROHOGAR,0.0,6714760.0,probable,False,
alex,fAX2pYCmu,CRM,2025,7,,,241812.0,unmatched,False,
amerplast,,Retail Display,2026,1,PLOMERIA / GASFITERIA,400000.0,0.0,probable,True,0.0
amerplast,,Retail Display,2026,2,,,0.0,unmatched,False,
amerplast,cyber_monday,Sponsored Products,2025,10,,,0.0,unmatched,False,
amerplast,IJnxjn0-k,CRM,2024,1,,,1319523.0,unmatched,False,
amerplast,RT8zRYTLh,CRM,2024,1,,,1905621.0,unmatched,False,
amesti,aon_amesti,Otros,2026,5,,,0.0,unmatched,False,
